0.88 0.37 0.08 0.35 0.82 0.37 0.63 0.15 0.25 1.00 0.13 0.99 0.58 0.64 0.46 0.64 0.46 0.72 0.62 0.32 0.91 0.15 0.17 0.44 0.16 
0.07 0.30 0.84 0.06 0.49 0.40 0.84 0.67 0.99 0.15 0.77 0.80 0.97 0.10 0.59 0.15 0.61 0.76 0.29 0.94 0.14 0.94 0.33 0.49 0.44 
0.71 0.23 0.73 0.65 0.49 0.37 0.17 0.87 0.68 0.03 0.16 0.46 0.38 0.95 0.02 0.14 0.56 0.18 0.06 0.45 0.30 0.77 0.74 0.60 0.36 
0.91 0.20 0.41 0.85 0.98 0.42 0.37 0.04 0.40 0.14 0.40 0.30 0.46 0.85 0.43 0.14 0.23 0.01 0.45 0.21 0.56 0.74 0.97 0.42 0.33 
0.19 0.69 0.93 0.13 0.83 0.25 0.22 0.18 0.83 0.85 0.95 0.01 0.82 0.73 0.82 0.49 0.21 0.07 0.17 0.84 0.24 0.59 0.58 0.19 0.08 
0.16 0.02 0.25 0.14 0.73 0.04 0.81 0.78 0.18 0.43 0.44 0.71 0.97 0.83 0.28 0.26 0.47 0.74 0.15 0.72 0.79 0.47 0.02 0.00 0.95 
0.41 0.94 0.86 0.30 0.09 0.49 0.79 0.88 0.66 0.93 0.97 0.75 0.95 0.05 0.35 0.97 0.97 0.86 0.13 0.24 0.89 0.22 0.90 0.84 0.43 
0.51 0.61 0.94 0.65 0.34 0.54 0.89 0.02 0.59 0.70 0.59 0.01 0.59 0.53 0.52 0.70 0.88 0.47 0.47 0.92 0.31 0.42 0.74 0.41 0.83 
0.32 0.65 0.36 0.85 0.14 0.17 0.96 0.51 0.46 0.67 0.20 0.65 0.83 0.36 0.75 0.91 0.23 0.59 0.87 0.75 0.66 0.54 0.43 0.69 0.34 
0.41 0.90 0.73 0.47 0.74 0.35 0.19 0.98 0.86 0.37 0.89 0.31 0.22 0.96 0.93 0.70 0.54 0.23 0.98 0.82 0.40 0.04 0.41 0.36 0.52 
0.44 0.12 0.51 0.03 0.85 0.32 0.75 0.20 0.10 0.25 0.95 0.81 0.10 0.09 0.25 0.64 0.31 0.88 0.74 0.38 0.80 0.90 0.25 0.22 0.02 
0.21 0.45 0.68 0.07 0.91 0.50 0.68 0.70 0.65 0.39 0.66 0.70 0.05 0.34 0.54 0.92 0.69 0.27 0.41 0.69 0.04 0.78 0.86 0.75 0.22 
0.69 0.61 0.58 0.87 0.46 0.48 0.09 0.08 0.61 0.42 0.72 0.59 0.50 0.51 0.85 0.16 0.55 0.69 0.42 0.53 0.21 0.24 1.00 0.70 0.81 
0.56 0.87 0.89 0.66 0.47 0.51 0.13 0.44 0.47 0.09 0.67 0.19 0.17 0.19 0.16 0.18 0.46 0.61 0.97 0.72 0.49 0.30 0.30 0.24 0.98 
0.17 0.74 0.94 0.21 0.17 0.76 0.93 0.91 0.11 0.83 0.47 0.53 0.62 0.70 0.18 0.11 0.85 0.43 0.75 0.23 0.26 0.86 0.99 0.24 0.07 
0.91 0.93 0.22 0.68 0.59 0.66 0.98 0.83 0.00 0.58 0.43 0.50 0.22 0.95 0.68 0.60 0.39 0.23 0.17 0.32 0.85 0.13 0.30 0.12 0.67 
0.91 0.71 0.50 0.44 0.86 0.77 0.13 0.62 0.43 0.39 0.87 0.36 0.98 0.74 0.01 0.98 0.63 0.01 0.29 0.26 0.16 0.69 0.25 0.46 0.45 
0.63 0.07 0.34 0.42 0.36 0.85 0.21 0.91 0.74 0.28 1.00 0.55 0.66 0.57 0.66 0.94 0.79 0.92 0.79 0.34 0.90 0.02 0.70 0.08 0.11 
0.03 0.89 0.82 0.34 0.67 0.26 0.12 0.25 0.56 0.79 0.20 0.23 0.72 0.25 0.49 0.55 0.22 0.48 0.80 0.14 0.87 0.92 0.68 0.29 0.14 
0.93 0.87 0.69 0.91 0.50 0.39 0.03 0.45 0.99 0.16 0.65 0.21 0.35 0.66 0.44 0.69 0.65 0.55 0.45 0.13 0.31 0.82 0.47 0.16 0.69 
0.34 1.00 0.24 0.63 0.32 0.86 0.03 0.65 0.62 0.93 0.43 0.10 0.47 0.12 0.48 0.27 0.38 0.22 0.94 0.64 1.00 0.73 0.59 0.22 0.54 
0.14 0.19 0.26 0.55 0.91 0.14 0.24 0.84 0.64 0.58 0.39 0.01 0.58 0.32 0.66 0.67 0.05 0.06 0.53 0.70 0.84 0.29 0.28 0.64 0.24 
0.63 0.40 0.51 0.73 0.58 0.64 0.20 0.01 0.75 0.33 0.82 0.38 0.44 0.63 0.96 0.05 0.56 0.11 0.37 0.60 0.97 0.54 0.01 0.07 0.99 
0.18 0.96 0.77 0.26 0.43 0.08 0.49 0.78 0.21 0.04 0.14 0.24 0.89 0.54 0.38 0.35 0.06 0.20 0.48 0.53 0.16 0.30 0.81 0.51 0.07 
0.47 0.17 0.14 0.68 0.64 0.58 0.14 0.78 0.55 0.55 0.98 0.95 0.80 0.37 0.62 0.03 0.92 0.76 0.33 0.80 0.52 0.16 0.27 0.36 0.77 
